Timestamp,Topic,Payload,QoS,Retain,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
2025-12-29T20:01:20.444840,aemet/Jaen/5270B,"{""idema"":""5270B"",""lon"":-3.809167,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":580,""vmax"":3.4,""vv"":2.1,""dv"":227,""lat"":37.7775,""dmax"":190,""ubi"":""JA�N"",""pres"":951.8,""hr"":74,""stdvv"":0.3,""ts"":7.7,""pres_nmar"":1020.7,""tamin"":8.6,""ta"":8.6,""tamax"":9.8,""tpr"":4.3,""vis"":20,""stddv"":12,""inso"":0,""tss5cm"":8.5,""pacutp"":0,""tss20cm"":8.3}",0,True,aemet,Jaen,5270B,,,
2025-12-29T20:01:20.444965,aemet/Leon/2661,"{""idema"":""2661"",""lon"":-5.651111,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":916,""vmax"":1.5,""vv"":1.5,""dv"":270,""lat"":42.588333,""dmax"":270,""ubi"":""LE�N/VIRGEN DEL CAMINO"",""pres"":914.1,""hr"":82,""stdvv"":0,""ts"":1.7,""tamin"":4.2,""ta"":4.3,""tamax"":6.2,""tpr"":1.5,""stddv"":2,""inso"":0,""geo925"":819.6}",0,True,aemet,Leon,2661,,,
2025-12-29T20:01:20.445079,aemet/Lleida/9771C,"{""idema"":""9771C"",""lon"":0.598058,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":185.83,""vmax"":1.6,""vv"":1,""dv"":202,""lat"":41.626108,""dmax"":183,""ubi"":""LLEIDA"",""pres"":995.5,""hr"":95,""stdvv"":0.2,""ts"":7.9,""pres_nmar"":1020.1,""tamin"":8.5,""ta"":8.5,""tamax"":8.8,""tpr"":7.7,""vis"":5.7,""stddv"":14,""inso"":0,""tss5cm"":8.6,""pacutp"":0,""tss20cm"":10.5}",0,True,aemet,Lleida,9771C,,,
2025-12-29T20:01:20.445265,aemet/La Rioja/9170,"{""idema"":""9170"",""lon"":-2.331024,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":353,""vmax"":4.1,""vv"":2.8,""dv"":240,""lat"":42.452342,""dmax"":230,""ubi"":""LOGRO�O  AEROPUERTO"",""pres"":977.4,""hr"":82,""stdvv"":0.1,""ts"":6.6,""pres_nmar"":1021.2,""tamin"":7.3,""ta"":7.4,""tamax"":8.6,""tpr"":4.5,""stddv"":3,""inso"":0}",0,True,aemet,La Rioja,9170,,,
2025-12-29T20:01:20.445379,aemet/Lugo/1505,"{""idema"":""1505"",""lon"":-7.4575,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":442.18,""vmax"":0.8,""vv"":0.2,""dv"":192,""lat"":43.111111,""dmax"":218,""ubi"":""LUGO/ROZAS"",""pres"":967.5,""hr"":83,""stdvv"":0.3,""ts"":1.6,""pres_nmar"":1021.3,""tamin"":4.6,""ta"":4.6,""tamax"":7.3,""tpr"":1.9,""vis"":4.5,""stddv"":35,""inso"":0,""tss5cm"":4.8,""pacutp"":0,""tss20cm"":5.6}",0,True,aemet,Lugo,1505,,,
2025-12-29T20:01:20.445488,aemet/Madrid/3195,"{""idema"":""3195"",""lon"":-3.678095,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":667,""vmax"":1.9,""vv"":0.6,""dv"":152,""lat"":40.411806,""dmax"":159,""ubi"":""MADRID RETIRO"",""pres"":940.7,""hr"":75,""pres_nmar"":1019.1,""tamin"":8.5,""ta"":8.5,""tamax"":9.8,""tpr"":4.3,""rviento"":33}",0,True,aemet,Madrid,3195,,,
2025-12-29T20:01:20.445599,aemet/Malaga/6155A,"{""idema"":""6155A"",""lon"":-4.482307,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":6.54,""vmax"":4.6,""vv"":2,""dv"":300,""lat"":36.666118,""dmax"":350,""ubi"":""M�LAGA/AEROPUERTO"",""pres"":1018.9,""hr"":78,""stdvv"":1.3,""ts"":11.7,""pres_nmar"":1019.7,""tamin"":13.7,""ta"":13.8,""tamax"":14.7,""tpr"":10,""stddv"":102,""inso"":0}",0,True,aemet,Malaga,6155A,,,
2025-12-29T20:01:20.445707,aemet/Murcia/7178I,"{""idema"":""7178I"",""lon"":-1.170836,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":61.84,""vmax"":0.9,""vv"":0.5,""dv"":333,""lat"":38.002004,""dmax"":300,""ubi"":""MURCIA"",""pres"":1012,""hr"":90,""stdvv"":0.1,""ts"":10.5,""pres_nmar"":1019.6,""tamin"":11.4,""ta"":11.5,""tamax"":11.8,""tpr"":9.9,""vis"":20,""stddv"":100,""inso"":0,""tss5cm"":12.2,""pacutp"":0,""tss20cm"":12.2}",0,True,aemet,Murcia,7178I,,,
2025-12-29T20:01:20.445816,aemet/Navarra/9263D,"{""idema"":""9263D"",""lon"":-1.649869,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":459,""vmax"":2.6,""vv"":1.2,""dv"":200,""lat"":42.776952,""dmax"":170,""ubi"":""PAMPLONA  AEROPUERTO"",""pres"":965.9,""hr"":78,""stdvv"":0.5,""ts"":4.9,""pres_nmar"":1019.7,""tamin"":9.3,""ta"":9.8,""tamax"":11.6,""tpr"":6.1,""vis"":30,""stddv"":15,""inso"":20}",0,True,aemet,Navarra,9263D,,,
2025-12-29T20:01:20.445918,aemet/Orense/1690A,"{""idema"":""1690A"",""lon"":-7.859722,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":145.86,""vmax"":1.3,""vv"":0.5,""dv"":267,""lat"":42.325278,""dmax"":248,""ubi"":""OURENSE"",""pres"":1002.7,""hr"":80,""stdvv"":0.3,""ts"":2,""pres_nmar"":1021.4,""tamin"":7.2,""ta"":7.2,""tamax"":10.5,""tpr"":3.9,""vis"":13.7,""stddv"":40,""inso"":0,""tss5cm"":8.3,""pacutp"":0,""tss20cm"":7.6}",0,True,aemet,Orense,1690A,,,
